Date (日期),Ticker (股票代码),Name (名称),Type (类型),Volume (成交量),Signal Strength,Direction (方向),ML_Prob,ML_Detail,Pattern (形态),Daily_J,Weekly_J,Price,ATR,Stop_Loss (止损),Suggested_Shares (建议股数),Position_Size (建议仓位$)
2026-04-20,AMZN,亚马逊,Stock,36557790,Strong,Short,41.1%,XGB:0.37|LGB:0.57|LR:0.76|N:335|Base:0.36,"Doji (十字星), Doji (十字星), Doji (十字星)",82.4,106.53,248.28,6.49,261.26,38,9434
2026-04-20,COIN,Coinbase,Stock,9801907,Strong + Div,Short,43.0%,XGB:0.56|LGB:0.77|LR:0.42|N:335|Base:0.35,Doji (十字星),106.08,99.87,211.63,11.84,235.31,21,4444
2026-04-20,CRWV,,Stock,29228568,Strong,Short,33.0%,XGB:0.55|LGB:0.24|LR:0.27|N:232|Base:0.32,"Hanging Man (吊颈线), Hanging Man (吊颈线)",92.01,108.92,117.43,7.42,132.27,33,3875
2026-04-20,HOOD,罗宾汉,Stock,35233333,Strong + Div,Short,32.4%,XGB:0.32|LGB:0.21|LR:0.38|N:335|Base:0.34,Doji (十字星),104.77,106.58,91.28,4.79,100.86,52,4746
2026-04-20,META,元宇宙(Facebook),Stock,12357266,Strong,Short,40.6%,XGB:0.52|LGB:0.60|LR:0.28|N:335|Base:0.36,Doji (十字星),90.54,106.55,670.91,20.12,711.15,12,8050
2026-04-20,MSFT,微软,Stock,27240190,Strong,Short,31.9%,XGB:0.04|LGB:0.10|LR:0.41|N:335|Base:0.34,"Doji (十字星), Doji (十字星), Doji (十字星)",91.03,96.4,418.07,9.71,437.49,25,10451
2026-04-20,MU,美光科技,Stock,31749115,Strong,Short,36.3%,XGB:0.51|LGB:0.43|LR:0.50|N:335|Base:0.32,"Doji (十字星), Hanging Man (吊颈线)",75.97,88.85,448.42,25.72,499.86,9,4035
2026-04-17,IWM,罗素2000指数ETF,Index ETF,46335587,Strong + Div,Short,37.1%,XGB:0.62|LGB:0.67|LR:0.35|N:332|Base:0.33,Doji (十字星),100.15,91.15,275.78,5.15,286.08,48,13237
2026-04-17,QQQ,纳斯达克100指数ETF,Index ETF,53221762,Strong + Div,Short,25.6%,XGB:0.14|LGB:0.19|LR:0.36|N:334|Base:0.28,Doji (十字星),104.12,105.11,648.85,10.42,669.69,23,14923
2026-04-17,SPY,标普500指数ETF,Index ETF,70159638,Strong + Div,Short,17.0%,XGB:0.02|LGB:0.04|LR:0.33|N:334|Base:0.20,Doji (十字星),102.01,94.49,710.14,9.26,728.66,26,18463
2026-04-17,AMD,超威半导体,Stock,35414017,Strong + Div,Short,34.7%,XGB:0.38|LGB:0.40|LR:0.48|N:334|Base:0.32,Doji (十字星),103.51,110.76,278.39,10.12,298.63,24,6681
2026-04-17,CRWV,,Stock,23669147,Strong,Short,27.8%,XGB:0.08|LGB:0.25|LR:0.16|N:231|Base:0.31,Hanging Man (吊颈线),96.03,98.38,116.85,7.42,131.69,33,3856
2026-04-16,IWM,罗素2000指数ETF,Index ETF,30631132,Strong + Div,Short,40.1%,XGB:0.54|LGB:0.70|LR:0.34|N:331|Base:0.33,Doji (十字星),105.51,94.0,269.95,4.95,279.85,50,13497
2026-04-16,QQQ,纳斯达克100指数ETF,Index ETF,41864338,Strong + Div,Short,30.8%,XGB:0.34|LGB:0.35|LR:0.52|N:333|Base:0.28,Doji (十字星),105.98,104.52,640.47,10.49,661.45,23,14730
